Name,Position,Base Salary,Roster Bonus,Signing Bonus,Cap Hit
Chandler Jones,DE,"$16,500,000",0-,"$3,000,000","$19,500,000 "
Patrick Peterson,CB,"$11,000,000",0-,0-,"$11,884,588 "
Larry Fitzgerald,WR,"$11,000,000",0-,0-,"$11,250,000 "
David Johnson,RB,"$5,700,000","$1,050,000","$3,000,000","$9,750,000 "
D.J. Humphries,LT,"$9,625,000",0-,0-,"$9,625,000 "
Justin Pugh,G,"$5,000,000","$375,000","$2,000,000","$7,375,000 "
Kyler Murray,QB,"$495,000",0-,"$5,897,481","$6,392,481 "
Jordan Hicks,ILB,"$2,000,000","$875,000","$3,000,000","$6,275,000 "
Robert Alford,CB,"$4,450,000",0-,"$1,500,000","$6,000,000 "
Terrell Suggs,OLB,"$3,000,000",0-,"$2,000,000","$5,000,000 "
Marcus Gilbert,RT,"$4,865,000",0-,0-,"$4,915,000 "
Corey Peters,DT,"$3,250,000","$468,750","$687,500","$4,656,250 "
D.J. Swearinger,FS,"$4,250,000","$234,375",0-,"$4,484,375 "
J.R. Sweezy,G,"$1,500,000","$468,750","$1,500,000","$3,968,750 "
Haason Reddick,ILB,"$1,690,270",0-,"$1,985,539","$3,675,809 "
Darius Philon,DT,"$1,000,000",0-,"$2,000,000","$3,000,000 "
Robert Nkemdiche,DE,"$1,122,808","$400,000","$1,113,747","$2,736,555 "
Andy Lee,P,"$2,000,000",0-,0-,"$2,000,000 "
Charles Clay,TE,"$1,150,000","$406,250","$350,000","$1,906,250 "
Brett Hundley,QB,"$1,125,000","$150,000","$600,000","$1,875,000 "
Budda Baker,SS,"$1,085,910",0-,"$776,819","$1,862,729 "
Max Garcia,G,"$1,100,000","$296,875","$400,000","$1,796,875 "
Rodney Gunter,DT,"$1,000,000","$150,000","$600,000","$1,750,000 "
Brooks Reed,DE,"$1,125,000","$250,000","$250,000","$1,625,000 "
Kevin White,WR,"$1,000,000","$78,125","$400,000","$1,478,125 "
Byron Murphy,CB,"$495,000",0-,"$957,636","$1,452,636 "
A.Q. Shipley,C,"$805,000","$195,000","$355,000","$1,379,000 "
Christian Kirk,WR,"$747,948",0-,"$591,794","$1,339,742 "
Tramaine Brock,CB,"$1,000,000","$75,000","$250,000","$1,325,000 "
Aaron Brewer,LS,"$930,000",0-,"$68,750","$1,048,750 "
Brandon Williams,CB,"$740,500",0-,"$168,176","$908,676 "
Chad Williams,WR,"$671,500",0-,"$176,572","$848,072 "
Andy Isabella,WR,"$495,000",0-,"$346,794","$841,794 "
David Amerson,CB,"$805,000",0-,0-,"$805,000 "
